Unnamed: 0,Job ID,Agency,Posting Type,No Of Positions,Civil Service Title,Title Classification,Job Category,Full-Time/Part-Time indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency,Required Qualification,Residency In Newyork,Posting Date
14,602231,HRA/DEPT OF SOCIAL SERVICES,External,1,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75000,125000,Annual,baccalaureate degree,No,8/31/2023
15,602231,HRA/DEPT OF SOCIAL SERVICES,Internal,1,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75000,125000,Annual,baccalaureate degree,No,8/31/2023
16,602435,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),93288,107281,Annual,baccalaureate degree,No,9/1/2023
17,602435,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),93288,107281,Annual,baccalaureate degree,No,9/1/2023
18,602568,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),93288,107281,Annual,baccalaureate degree,No,9/1/2023
19,602568,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),93288,107281,Annual,baccalaureate degree,No,9/1/2023
20,602596,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),93288,107281,Annual,baccalaureate degree,No,9/1/2023
21,602596,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),93288,107281,Annual,baccalaureate degree,No,9/1/2023
22,603477,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),108071,124282,Annual,baccalaureate degree,No,9/7/2023
23,603477,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),108071,124282,Annual,baccalaureate degree,No,9/7/2023
24,603553,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),100743,115854,Annual,baccalaureate degree,No,9/7/2023
25,603553,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),100743,115854,Annual,baccalaureate degree,No,9/7/2023
26,603583,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),100743,115854,Annual,baccalaureate degree,No,9/7/2023
27,603583,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),100743,115854,Annual,baccalaureate degree,No,9/7/2023
28,605301,HRA/DEPT OF SOCIAL SERVICES,External,1,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75000,129000,Annual,baccalaureate degree,No,9/15/2023
29,605301,HRA/DEPT OF SOCIAL SERVICES,Internal,1,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75000,129000,Annual,baccalaureate degree,No,9/15/2023
30,607182,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),93288,120190,Annual,baccalaureate degree,No,11/1/2023
31,607182,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),93288,120190,Annual,baccalaureate degree,No,11/1/2023
32,612319,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation ",full time,Manager,80931,164285,Annual,master's degree,No,10/20/2023
33,612319,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation ",full time,Manager,80931,164285,Annual,master's degree,No,10/20/2023
34,626415,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),100743,115854,Annual,baccalaureate degree,No,2/8/2024
35,626415,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),100743,115854,Annual,baccalaureate degree,No,2/8/2024
36,540906,BRONX DISTRICT ATTORNEY,Internal,3,COMMUNITY COORDINATOR,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75197,75197,Annual,baccalaureate degree,No,7/18/2022
37,540906,BRONX DISTRICT ATTORNEY,External,3,COMMUNITY COORDINATOR,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75197,75197,Annual,baccalaureate degree,No,7/18/2022
38,608132,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ADMINISTRATIVE PROJECT MANAGER,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),58682,128750,Annual,baccalaureate degree,No,10/4/2023
39,608132,DEPT OF DESIGN & CONSTRUCTION,External,1,ADMINISTRATIVE PROJECT MANAGER,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),58682,128750,Annual,baccalaureate degree,No,10/4/2023
40,614265,DEPARTMENT OF INVESTIGATION,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),89550,110000,Annual,baccalaureate degree,No,11/2/2023
41,614265,DEPARTMENT OF INVESTIGATION,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),89550,110000,Annual,baccalaureate degree,No,11/2/2023
42,625676,DEPARTMENT OF BUILDINGS,External,1,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation ",full time,Manager,120000,140000,Annual,master's degree,No,2/1/2024
43,625676,DEPARTMENT OF BUILDINGS,Internal,1,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation ",full time,Manager,120000,140000,Annual,master's degree,No,2/1/2024
44,540078,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),81951,94244,Annual,baccalaureate degree,No,7/13/2022
45,540078,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),81951,94244,Annual,baccalaureate degree,No,7/13/2022
46,617507,BRONX DISTRICT ATTORNEY,Internal,4,COMMUNITY COORDINATOR,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),60000,60000,Annual,baccalaureate degree,No,11/27/2023
47,617507,BRONX DISTRICT ATTORNEY,External,4,COMMUNITY COORDINATOR,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),60000,60000,Annual,baccalaureate degree,No,11/27/2023
48,555559,DEPT OF ENVIRONMENT PROTECTION,External,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),84468,111003,Annual,master's degree,Yes,10/20/2022
49,555559,DEPT OF ENVIRONMENT PROTECTION,Internal,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),84468,111003,Annual,master's degree,Yes,10/20/2022
50,580099,FINANCIAL INFO SVCS AGENCY,External,1,IT SERVICE MANAGEMENT SPECIALI,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),85000,90000,Annual,baccalaureate degree,No,3/20/2023
51,580099,FINANCIAL INFO SVCS AGENCY,Internal,1,IT SERVICE MANAGEMENT SPECIALI,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),85000,90000,Annual,baccalaureate degree,No,3/20/2023
52,583000,DEPARTMENT OF TRANSPORTATION,External,2,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,15.5,19.9,Hourly,matriculation,Yes,4/18/2023
53,583000,DEPARTMENT OF TRANSPORTATION,Internal,2,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,15.5,19.9,Hourly,matriculation,Yes,4/18/2023
54,589411,OFF OF PAYROLL ADMINISTRATION,Internal,2,COMMUNITY ASSOCIATE,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),41887,69709,Annual,high school,Yes,6/6/2023
55,589411,OFF OF PAYROLL ADMINISTRATION,External,2,COMMUNITY ASSOCIATE,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),41887,69709,Annual,high school,Yes,6/6/2023
56,590401,FINANCIAL INFO SVCS AGENCY,Internal,1,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,"Technology, Data & Innovation ",part time,Student,15.5,19.9,Hourly,matriculation,Yes,6/20/2023
57,590401,FINANCIAL INFO SVCS AGENCY,External,1,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,"Technology, Data & Innovation ",part time,Student,15.5,19.9,Hourly,matriculation,Yes,6/20/2023
58,602801,NYC EMPLOYEES RETIREMENT SYS,Internal,1,CYBER SECURITY ANALYST,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),85371,98177,Annual,baccalaureate degree,Yes,9/5/2023
59,602801,NYC EMPLOYEES RETIREMENT SYS,External,1,CYBER SECURITY ANALYST,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),85371,98177,Annual,baccalaureate degree,Yes,9/5/2023
60,605517,DEPARTMENT OF TRANSPORTATION,External,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),70087,84805,Annual,master's degree,Yes,9/21/2023
61,605517,DEPARTMENT OF TRANSPORTATION,Internal,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),70087,84805,Annual,master's degree,Yes,9/21/2023
62,605529,DEPARTMENT OF TRANSPORTATION,Internal,1,ECONOMIST,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),61206,84805,Annual,master's degree,Yes,9/26/2023
63,605529,DEPARTMENT OF TRANSPORTATION,External,1,ECONOMIST,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),61206,84805,Annual,master's degree,Yes,9/26/2023
64,618692,NYC EMPLOYEES RETIREMENT SYS,External,1,CYBER SECURITY ANALYST,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),85371,98177,Annual,baccalaureate degree,Yes,12/4/2023
65,618692,NYC EMPLOYEES RETIREMENT SYS,Internal,1,CYBER SECURITY ANALYST,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),85371,98177,Annual,baccalaureate degree,Yes,12/4/2023
66,624700,DEPARTMENT OF FINANCE,Internal,2,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,others,Yes,2/6/2024
67,624700,DEPARTMENT OF FINANCE,External,2,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,others,Yes,2/6/2024
68,624764,DEPARTMENT OF FINANCE,Internal,1,SUMMER COLLEGE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,15,17.5,Hourly,matriculation,Yes,2/10/2024
69,624764,DEPARTMENT OF FINANCE,External,1,SUMMER COLLEGE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,15,17.5,Hourly,matriculation,Yes,2/10/2024
70,624795,DEPARTMENT OF FINANCE,Internal,1,SUMMER COLLEGE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,15,17.5,Hourly,matriculation,Yes,2/6/2024
71,624795,DEPARTMENT OF FINANCE,External,1,SUMMER COLLEGE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,15,17.5,Hourly,matriculation,Yes,2/6/2024
72,624813,DEPARTMENT OF FINANCE,Internal,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/6/2024
73,624813,DEPARTMENT OF FINANCE,External,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/6/2024
74,624842,DEPARTMENT OF FINANCE,External,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/6/2024
75,624842,DEPARTMENT OF FINANCE,Internal,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/6/2024
76,624854,DEPARTMENT OF FINANCE,Internal,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/6/2024
77,624854,DEPARTMENT OF FINANCE,External,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/6/2024
78,624890,DEPARTMENT OF FINANCE,Internal,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/6/2024
79,624890,DEPARTMENT OF FINANCE,External,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/6/2024
80,624907,DEPARTMENT OF FINANCE,External,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/6/2024
81,624907,DEPARTMENT OF FINANCE,Internal,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/6/2024
82,625465,DEPARTMENT OF FINANCE,Internal,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/10/2024
83,625465,DEPARTMENT OF FINANCE,External,1,SUMMER GRADUATE INTERN,Non-Competitive-5,"Technology, Data & Innovation ",full time,Student,19.93,24.73,Hourly,graduation,Yes,2/10/2024
84,625742,DEPARTMENT OF FINANCE,Internal,1,BUSINESS RESEARCH & DATA ANALY,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),90076,97138,Annual,master's degree,Yes,2/12/2024
85,625742,DEPARTMENT OF FINANCE,External,1,BUSINESS RESEARCH & DATA ANALY,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),90076,97138,Annual,master's degree,Yes,2/12/2024
86,626114,NYC EMPLOYEES RETIREMENT SYS,Internal,1,TELECOMMUNICATIONS MANAGER (NO,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),110000,120000,Annual,baccalaureate degree,Yes,2/7/2024
87,626114,NYC EMPLOYEES RETIREMENT SYS,External,1,TELECOMMUNICATIONS MANAGER (NO,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),110000,120000,Annual,baccalaureate degree,Yes,2/7/2024
88,626633,DEPARTMENT OF FINANCE,External,1,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),105000,115000,Annual,master's degree,No,2/16/2024
89,626633,DEPARTMENT OF FINANCE,Internal,1,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),105000,115000,Annual,master's degree,No,2/16/2024
90,540899,BRONX DISTRICT ATTORNEY,Internal,1,CERT IT DEVELOPER (APP),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),115000,115000,Annual,certification,No,7/18/2022
91,540899,BRONX DISTRICT ATTORNEY,External,1,CERT IT DEVELOPER (APP),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),115000,115000,Annual,certification,No,7/18/2022
92,605187,BRONX DISTRICT ATTORNEY,Internal,1,COMMUNITY COORDINATOR,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),59116,80000,Annual,baccalaureate degree,No,9/14/2023
93,605187,BRONX DISTRICT ATTORNEY,External,1,COMMUNITY COORDINATOR,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),59116,80000,Annual,baccalaureate degree,No,9/14/2023
94,610303,BRONX DISTRICT ATTORNEY,External,1,COMPUTER SPECIALIST (OPERATION,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),125000,125000,Annual,high school,No,10/7/2023
95,610303,BRONX DISTRICT ATTORNEY,Internal,1,COMPUTER SPECIALIST (OPERATION,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),125000,125000,Annual,high school,No,10/7/2023
96,611374,BRONX DISTRICT ATTORNEY,External,2,COMPUTER ASSOC (OPERATIONS),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),67170,80000,Annual,certificate,No,10/14/2023
97,611374,BRONX DISTRICT ATTORNEY,Internal,2,COMPUTER ASSOC (OPERATIONS),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),67170,80000,Annual,certificate,No,10/14/2023
98,611375,BRONX DISTRICT ATTORNEY,External,1,PROCUREMENT ANALYST,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),69012,90000,Annual,baccalaureate degree,No,10/14/2023
99,611375,BRONX DISTRICT ATTORNEY,Internal,1,PROCUREMENT ANALYST,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),69012,90000,Annual,baccalaureate degree,No,10/14/2023
100,616352,BRONX DISTRICT ATTORNEY,Internal,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Manager,125000,125000,Annual,master's degree,No,11/15/2023
101,616352,BRONX DISTRICT ATTORNEY,External,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Manager,125000,125000,Annual,master's degree,No,11/15/2023
102,542027,FINANCIAL INFO SVCS AGENCY,Internal,1,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,"Technology, Data & Innovation ",full time,Executive,58700,130000,Annual,others,Yes,7/22/2022
103,542027,FINANCIAL INFO SVCS AGENCY,External,1,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,"Technology, Data & Innovation ",full time,Executive,58700,130000,Annual,others,Yes,7/22/2022
104,590389,DEPARTMENT OF TRANSPORTATION,Internal,1,CERT IT DEVELOPER (APP),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),89550,121653,Annual,certification,No,6/24/2023
105,590389,DEPARTMENT OF TRANSPORTATION,External,1,CERT IT DEVELOPER (APP),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),89550,121653,Annual,certification,No,6/24/2023
106,483286,NYC HOUSING AUTHORITY,External,4,ADMINISTRATIVE HOUSING SUPERIN,Competitive-1,"Technology, Data & Innovation ",full time,Manager,64922,173486,Annual,high school,Yes,3/28/2022
107,483286,NYC HOUSING AUTHORITY,Internal,4,ADMINISTRATIVE HOUSING SUPERIN,Competitive-1,"Technology, Data & Innovation ",full time,Manager,64922,173486,Annual,high school,Yes,3/28/2022
108,534561,NYC HOUSING AUTHORITY,Internal,1,ADMINISTRATIVE SUPERVISOR OF S,Competitive-1,"Technology, Data & Innovation ",full time,Manager,72038,192152,Annual,others,Yes,6/30/2022
109,534561,NYC HOUSING AUTHORITY,External,1,ADMINISTRATIVE SUPERVISOR OF S,Competitive-1,"Technology, Data & Innovation ",full time,Manager,72038,192152,Annual,others,Yes,6/30/2022
110,556484,DEPT OF ENVIRONMENT PROTECTION,External,9,INSTRUMENTATION SPECIALIST,Competitive-1,"Technology, Data & Innovation ",full time,Entry-Level,64997,67632,Annual,bachelor's degree,Yes,11/16/2022
111,556484,DEPT OF ENVIRONMENT PROTECTION,Internal,9,INSTRUMENTATION SPECIALIST,Competitive-1,"Technology, Data & Innovation ",full time,Entry-Level,64997,67632,Annual,bachelor's degree,Yes,11/16/2022
112,484977,FINANCIAL INFO SVCS AGENCY,External,1,SENIOR IT ARCHITECT,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),0,100000,Annual,baccalaureate degree,No,9/20/2021
113,484977,FINANCIAL INFO SVCS AGENCY,Internal,1,SENIOR IT ARCHITECT,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),0,100000,Annual,baccalaureate degree,No,9/20/2021
114,500566,FINANCIAL INFO SVCS AGENCY,Internal,1,IT AUTOMATION AND MONITORING E,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75000,95000,Annual,baccalaureate degree,No,11/10/2021
115,500566,FINANCIAL INFO SVCS AGENCY,External,1,IT AUTOMATION AND MONITORING E,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75000,95000,Annual,baccalaureate degree,No,11/10/2021
116,509756,FINANCIAL INFO SVCS AGENCY,External,1,SENIOR IT ARCHITECT,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),100000,110000,Annual,baccalaureate degree,No,12/15/2021
117,509756,FINANCIAL INFO SVCS AGENCY,Internal,1,SENIOR IT ARCHITECT,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),100000,110000,Annual,baccalaureate degree,No,12/15/2021
118,510096,FINANCIAL INFO SVCS AGENCY,Internal,1,ACCOUNTANT,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),50217,65000,Annual,baccalaureate degree,Yes,12/16/2021
119,511279,FINANCIAL INFO SVCS AGENCY,Internal,1,IT AUTOMATION AND MONITORING E,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),80000,85000,Annual,baccalaureate degree,No,12/23/2021
120,511279,FINANCIAL INFO SVCS AGENCY,External,1,IT AUTOMATION AND MONITORING E,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),80000,85000,Annual,baccalaureate degree,No,12/23/2021
121,511310,FINANCIAL INFO SVCS AGENCY,Internal,1,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75000,135000,Annual,baccalaureate degree,No,12/23/2021
122,511310,FINANCIAL INFO SVCS AGENCY,External,1,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75000,135000,Annual,baccalaureate degree,No,12/23/2021
123,520114,TECHNOLOGY & INNOVATION,Internal,1,CERTIFIED IT ADMINISTRATOR (LA,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),98901,122000,Annual,certification,No,3/7/2022
124,529586,FINANCIAL INFO SVCS AGENCY,External,1,IT SERVICE MANAGEMENT SPECIALI,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),90000,100000,Annual,baccalaureate degree,No,4/22/2022
125,529586,FINANCIAL INFO SVCS AGENCY,Internal,1,IT SERVICE MANAGEMENT SPECIALI,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),90000,100000,Annual,baccalaureate degree,No,4/22/2022
