id,title,url,num_points,num_comments,author,created_at
10396159,ask hn: what's the one thing you've always wanted to learn?,,8,20,alexgpark,2015-10-15 21:34:00
11183404,"ask hn: how do you track foss releases, changelogs?",,4,3,andrewstuart2,2016-02-26 19:20:00
12211782,ask hn: hiring first employee for my startup. what documents need to be signed?,,2,3,dimasf,2016-08-02 18:00:00
11189320,"ask hn: teaching basic coding and web design offline, solely via ios devices?",,32,33,benbreen,2016-02-28 01:24:00
10893151,ask hn: please validate my business idea,,1,5,springboard,2016-01-13 09:12:00
11641004,ask hn: where do you want your tax dollars spent?,,1,4,lollinghard,2016-05-06 01:14:00
11960858,ask hn: how to handle staging environments?,,8,7,fabianlindfors,2016-06-23 13:59:00
11602552,"ask hn: question from a luddite re: cookies/web tracking, particularly by criteo",,3,11,corvallis,2016-04-30 17:21:00
10421168,ask hn: tax implications of becoming a full time remote employee,,1,1,gearoidoc,2015-10-20 19:21:00
10447059,ask hn: getting clients that are clients of another agency,,6,9,hanniabu,2015-10-25 15:09:00
11628475,ask hn: why did andrej karpathy take down the stanford cs231n videos?,,3,2,max_,2016-05-04 14:14:00
10785546,ask hn: things you created in 2015?,,26,37,thecosas,2015-12-23 20:48:00
11815678,ask hn: has teamviewer has been compromised?,,3,1,joenathan,2016-06-01 16:19:00
12067533,ask hn: imagine it's 1993  what would you put in an mvp web browser?,,3,2,hoodoof,2016-07-10 22:19:00
11950382,ask hn: what was the name of this contact app?,,1,4,l1n,2016-06-21 23:40:00
11561001,ask hn: what are the components needed to make a web api?,,2,1,aryamaan,2016-04-24 19:36:00
11735075,ask hn: any coding bootcamps that you recommend?,,1,1,soneca,2016-05-20 01:26:00
11971491,ask hn: what is your go-to example for a good rest api?,,401,182,goostavos,2016-06-24 17:02:00
12081722,ask hn: how to not be bored doing a similar project in my company?,,1,5,randy_gilette,2016-07-12 19:34:00
10400446,ask hn: what books will stay relevant for many years to come?,,12,9,shubhamjain,2015-10-16 16:36:00
11293443,"ask hn: welp, i seem to fail at marketing: looking for feedback on ios app pitch",,10,8,anon_app_guy,2016-03-15 22:15:00
10618506,"ask hn: if evernote goes out of business, what happens to all our notes?",,20,24,alexgpark,2015-11-24 01:05:00
11800205,ask hn: my show hn post won't show. could it be?,,6,5,keywonc,2016-05-30 08:14:00
10878886,ask hn: can anyone suggest a good rss newsreader with a set of tech news feeds?,,3,3,hoodoof,2016-01-11 04:53:00
12378410,ask hn: where do you live?,,4,4,rokhayakebe,2016-08-28 20:38:00
11359726,ask hn: do you flag hn posts in the absence of a downvote button?,,6,7,mangeletti,2016-03-25 12:52:00
11493595,ask hn: dealing with 'global' burnout,,1,10,throwawaynym,2016-04-14 00:58:00
10817615,ask hn: what charitable organizations do you donate to?,,2,3,donations-2015,2015-12-31 14:18:00
11180706,ask hn: someone is stealing things from my car. what security camera would help?,,3,3,hoodoof,2016-02-26 10:23:00
11406046,ask hn: is perl still relevant today?,,4,4,enitihas,2016-04-01 16:24:00
11957086,ask hn: server management software,,1,3,FlopV,2016-06-22 21:15:00
10381833,ask hn: experience with windows 10 upgrade,,4,20,codegeek,2015-10-13 17:07:00
11216055,ask hn: creative ideas to activate communities?,,3,1,sameernoorani,2016-03-03 10:40:00
11416746,ask hn: how do you review code?,,357,140,skewart,2016-04-03 16:57:00
11282812,ask hn: engineering degree: mathematics and statistics vs software?,,4,5,noobie,2016-03-14 13:42:00
11611005,ask hn: where's who's hiring for may 2016?,,2,3,martinshen,2016-05-02 13:12:00
12545014,ask hn: settle for less salary or change to make more in prime years,,19,30,throwaway007007,2016-09-21 02:36:00
10433234,ask hn: is it illegal to use another site mp4 link in my app?,,1,2,lesvizit,2015-10-22 16:46:00
11889827,ask hn: what is a good text-based role-playing game to get into as a newbie?,,2,2,hellofunk,2016-06-12 19:28:00
10783488,ask hn: how to create a remote development environment?,,5,5,MuEta,2015-12-23 14:40:00
11223769,ask hn: recommend 3 books that had an impact on you,,1,1,have_faith,2016-03-04 14:13:00
12312759,ask hn: how do you come up with progressive project ideas?,,25,17,kanso,2016-08-18 14:33:00
10816484,"ask hn: what became possible or practical in 2015, which wasn't in 2014?",,12,1,jodrellblank,2015-12-31 06:14:00
12270366,ask hn: job with travel,,2,1,aaronhoffman,2016-08-11 17:59:00
11004344,ask hn: any advice for an older engineer stuck in his career?,,6,5,whattodo123,2016-01-30 23:37:00
10712476,ask hn: feeling stuck looking for suggestions,,4,5,throwaway5023,2015-12-10 18:49:00
10667994,ask hn: should i write a lean business plan for a social startup?,,4,2,tallerholler,2015-12-03 05:50:00
11134748,ask hn: how do i evaluate different opportunities?,,5,8,abustamam,2016-02-19 17:11:00
11529810,ask hn: are there seo secrets that work or is it just common sense?,,1,2,kiddz,2016-04-19 20:04:00
11104928,ask hn: open source project ideas?,,6,6,codegeek,2016-02-15 18:16:00
10546797,ask hn: how do you find time to learn new things?,,23,22,vijayr,2015-11-11 14:29:00
10694392,ask hn: your advise wanted for how to get into programming,,2,7,dbob,2015-12-08 02:30:00
10299500,"ask hn: scala or elixir, what would you recommend me?",,14,12,sanosuke,2015-09-29 20:46:00
11378590,ask hn: what is llvm (from the perspective of a middling rails developer)?,,1,1,mmanfrin,2016-03-29 00:15:00
10741251,ask hn: are there any projects or compilers which convert javascript to java?,,1,2,ggonweb,2015-12-15 23:26:00
10607018,"ask hn: if you build it, they will come doesn't work. how do we market our app?",,85,72,mstipetic,2015-11-21 15:42:00
10610697,ask hn: where do you want to work?,,2,2,soared,2015-11-22 17:27:00
11907960,ask hn: what non-technical skills make a senior dev and how to develop them?,,212,130,poushkar,2016-06-15 08:52:00
10221668,ask hn: is your company not using react.js due to patent file?,,1,3,dominotw,2015-09-15 16:52:00
10793178,ask hn: when to not use tor?,,1,2,dayon,2015-12-26 03:46:00
10401542,ask hn: how can i promote my opensource tool to hit broader audience?,,4,7,adnanh,2015-10-16 19:37:00
11240336,ask hn: do you need a degree/diploma for a tn-1 (or other work) visa?,,12,15,jlos,2016-03-07 18:02:00
10834382,ask hn: how does turning off my ad blocker help?,,2,2,mproud,2016-01-04 07:06:00
10813633,ask hn: facebook threatening to permanently delete my account. who do i contact?,,7,6,auganov,2015-12-30 19:03:00
10381974,ask hn: has any african startup ever been accepted to y combinator?,,1,1,chirau,2015-10-13 17:26:00
11019096,"ask hn: 1 book,1 article and 1 research paper you suggest?",,2,1,jharohit,2016-02-02 12:47:00
10560835,"ask hn: broken tests, huge (250 commit) pull requests, growing team, what to do?",,6,10,RomanPushkin,2015-11-13 16:57:00
11471630,ask hn: what are the resources you would suggest for machine learning?,,6,2,aryamaan,2016-04-11 14:17:00
10475833,ask hn: client is bullying for refund since beginning,,5,15,codegeek,2015-10-30 02:34:00
11653215,ask hn: how do you like the trend of auto-playing videos on mainstream sites?,,6,8,hellofunk,2016-05-08 08:30:00
10480565,ask hn: how do i become a data engineer,,7,2,josep2,2015-10-30 21:12:00
12570947,"ask hn: if you've successfully outsourced software dev work, how did you do it?",,3,1,Mattasher,2016-09-24 14:03:00
12328822,ask hn: how to optimize nginx for static content?,,3,1,ffggvv,2016-08-20 23:49:00
10812406,ask hn: how do you find new podcasts?,,3,1,samsolomon,2015-12-30 15:30:00
12299289,ask hn: human-realistic robots?,,1,6,poppup,2016-08-16 18:05:00
12251964,"ask hn: if you found an easy way to factor large numbers, would you tell anyone?",,43,43,c0nrad,2016-08-09 01:30:00
11552995,ask hn: how do you harmonize user data?,,25,19,hackerews,2016-04-22 22:31:00
10945426,ask hn: how do you talk to customers?,,17,5,magic_man,2016-01-21 14:38:00
12011850,ask hn: what are your favorite personal finance books?,https://www.everwealth.io/blog/best-personal-finance-books/,2,1,alexkehr,2016-06-30 21:22:00
10831940,ask hn: what are you currently building?,,145,234,philippnagel,2016-01-03 19:37:00
10366137,ask hn: 512gb flash is cheap and small. why does high-end phones have 64gb?,,1,5,canow,2015-10-10 17:12:00
10802626,ask hn: copyright infringement alert from isp,,4,6,yeukhon,2015-12-28 18:47:00
11217968,"ask hn: don't understand vesting/ownership offer, how do i make money off it?",,7,9,giltleaf,2016-03-03 16:38:00
10952949,"ask hn: stock for cloud space, would you do it?",,3,1,sharemywin,2016-01-22 14:44:00
11784275,ask hn: feedback on betting app idea,,1,1,DanPir,2016-05-27 06:27:00
11960077,"ask hn: uk entrepreneurs, how does a brexit/remain vote affect your start up?",,12,19,harel,2016-06-23 10:57:00
11486312,ask hn: why do young programmers think they know more than old programmers,,7,3,ianpurton,2016-04-13 07:06:00
10279840,ask hn: creating and licensing product for/from employer,,2,1,tawaycreation,2015-09-25 18:32:00
12470921,ask hn: my game is growing fast. what should i do?,,26,25,m0dE,2016-09-10 21:18:00
11911071,ask hn: is the g2 crowd business software review website a scam?,,7,7,elbigbad,2016-06-15 18:33:00
12447787,ask hn: how to buy vested stock when leaving start up?,,9,7,davidcoronado,2016-09-07 21:16:00
10743315,ask hn: what is a way of making residual income with $5k a month?,,105,71,hanyoon,2015-12-16 10:01:00
12073594,ask hn: how to fake laptop connection via usb,,2,3,pizu,2016-07-11 19:22:00
11947074,ask hn: is it practical to start a 1-person micro isv these days?,,13,17,augb,2016-06-21 16:44:00
11312315,ask hn: a bite-sized problem in your company that i could turn into a tiny saas?,,23,2,borplk,2016-03-18 15:16:00
10655757,ask hn: starting over,,5,5,marktangotango,2015-12-01 15:01:00
10800717,ask hn: product pricing,,2,2,vital101,2015-12-28 11:42:00
10410498,ask hn: low marks vs. side projects?,,2,3,meturtle,2015-10-19 00:48:00
12527922,ask hn: where do you go to get recruiters to find you a job?,,89,61,nicholas73,2016-09-19 00:16:00
11218994,ask hn: thoughts on mckinsey job?,,3,2,mcthrowaway,2016-03-03 18:51:00
10512959,ask hn: did your show hn go on to become very successful?,,14,17,jjoe,2015-11-05 12:44:00
10411282,ask hn: is there some database/shop for recipes and pictures of the results?,,1,2,wingerlang,2015-10-19 05:27:00
11146156,ask hn: does dart programming language need mvvm frameworks?,,3,3,basicscholar,2016-02-21 19:54:00
12116344,ask hn: is there a relation between software and art?,,1,2,tamersalama,2016-07-18 16:59:00
12379186,ask hn: real time one way replication on linux?,,1,1,Manozco,2016-08-29 00:07:00
11477068,ask hn: what would you ask target audience to build a recruiting website?,,3,5,henryzhang0304,2016-04-12 03:38:00
11142125,ask hn: is there a benefit is working as fast as you can?,,2,1,TacoWednesdays,2016-02-20 21:53:00
11911474,ask hn: migrating from mac to windows for development,,13,13,kuon,2016-06-15 19:27:00
11079401,ask hn: doing cold emails? helps us prove this concept for closing more leads,,8,12,going_to_800,2016-02-11 10:48:00
10210881,ask hn: any tips on finding relevant shopify/magento store owners?,,1,1,dmagriso,2015-09-13 10:21:00
12366498,ask hn: whats the best video talk you have ever seen?,,1,1,ThomPete,2016-08-26 14:28:00
12516611,ask hn: is it possible for someone to not be cut out for software engineering?,,182,185,conflicted_dev,2016-09-16 19:28:00
10999402,ask hn: why is the design of hackernews that terrible?,,5,7,nikobellic,2016-01-29 23:32:00
11731171,ask hn: how do i backup logical partition table with dd command?,,1,2,giis,2016-05-19 15:59:00
10635098,ask hn: is there space for one more web chat between irc and slack?,,6,4,jampa-uchoa,2015-11-26 22:51:00
10532419,ask hn: where can i get interesting data sets online?,,2,2,J-dawg,2015-11-09 11:28:00
11545194,ask hn: are your tickets highly nested?,,1,2,virgil_disgr4ce,2016-04-21 20:41:00
12336599,ask hn: phantomjs or protractor?,,2,1,alistproducer2,2016-08-22 14:38:00
12343421,"ask hn: i don't need money, so what's the benefit to y combinator?",,1,2,forgottenacc56,2016-08-23 13:13:00
10599898,"ask hn: best way to make a service like uber, but for logistics?",,1,2,itsashis4u,2015-11-20 06:14:00
11679297,ask hn: android audiorecord forcing voice_call to mic audio source,,1,2,NLL_APPS,2016-05-11 21:08:00
10916911,"ask hn: your favorite resources to improve critical thinking, imagination?",,3,1,vijayr,2016-01-16 21:25:00
10379517,ask hn: how did you find your last job?,,11,22,yarper,2015-10-13 10:42:00
10729437,ask hn: good programmable robot kit for teens?,,51,37,fenier,2015-12-14 04:35:00
12487180,"ask hn: would you be interested in an embeddable, lightweight subset of python?",,5,8,parnor,2016-09-13 11:47:00
10560213,ask hn: what is this black bar?,,3,1,shade23,2015-11-13 15:12:00
11297015,ask hn: what books do you wish your manager would read?,,50,55,a3n,2016-03-16 13:20:00
10624019,ask hn: how to value small side projects? can you sell them?,,9,9,vonklaus,2015-11-24 22:27:00
12423976,ask hn: why should open source support be free? i don't think it should.,,2,3,hoodoof,2016-09-04 12:26:00
11036156,ask hn: palantir software engineering,,30,20,turd_ferguson,2016-02-04 18:44:00
11283909,ask hn: ever built any integrations between a saas product and other products?,,5,6,carmenapostu,2016-03-14 16:57:00
10327827,"ask hn: what happened to the monthly best laptop"" threads",,6,8,o_s_m,2015-10-04 15:50:00
11486063,ask hn: kyc regs and svb,,2,3,danieltillett,2016-04-13 06:01:00
11327648,ask hn: how do you find unused css?,,12,10,tmaly,2016-03-21 12:44:00
11302432,ask hn: did comcast just screw me over?,,10,11,dan-silver,2016-03-17 03:39:00
11804249,ask hn: has dropbox been compromised recently?,,2,1,alrtd82,2016-05-31 02:41:00
10308774,ask hn: declarative database migrations?,,11,8,beefsack,2015-10-01 02:02:00
10578278,ask hn: want to help make pgp-encrypting all chats effortless?,,5,2,55555,2015-11-17 00:07:00
12452499,ask hn: what happened to facebook graph search?,,114,35,_kyran,2016-09-08 12:58:00
11970005,ask hn: are there any tools to encrypt and store data on amazon cloud drive?,,1,4,codezero,2016-06-24 14:29:00
11081598,ask hn: any drawbacks to sublime text 3 update?,,7,10,hanniabu,2016-02-11 17:40:00
11061236,ask hn: do you want a fastlane-centric ci service?,,1,3,mskierkowski,2016-02-08 22:09:00
10244144,"ask hn: can this way we support publishers and readers, and also get rid of ads?",,1,8,techaddict009,2015-09-19 12:54:00
11574947,ask hn: what is the delay field for?,,2,1,daveloyall,2016-04-26 19:42:00
10822376,ask hn: courses  like coursera or udemy but without the videos?,,108,55,rgovind,2016-01-01 17:05:00
11267694,ask hn: is silicon valley slowing down?,,4,8,ceallaigh49364,2016-03-11 16:48:00
11840415,ask hn: how to know when you're intermediate level?,,19,5,curiousgal,2016-06-05 11:08:00
10752020,ask hn: what search engine do you use?,,1,1,zingplex,2015-12-17 15:33:00
11490811,ask hn: how do i learn javascript after using it for years,,1,4,Zyst,2016-04-13 18:20:00
11404760,ask hn: do you have a personal copy of cv?,,3,4,mapcars,2016-04-01 13:56:00
12286883,ask hn: ever launched a failed desktop app?,,9,3,vram22,2016-08-14 19:15:00
10406370,ask hn: freelancers outside us and eu. how do you find quality clients?,,2,1,maouida,2015-10-17 22:15:00
10561740,ask hn: are unicode symbols allowed in domain names?,,1,2,shade23,2015-11-13 19:07:00
12277688,ask hn: why no regex and?,,3,11,_acme,2016-08-12 18:23:00
11649068,ask hn: any free/open source simple employee time tracking software?,,2,1,techaddict009,2016-05-07 10:30:00
10736611,ask hn: where did you learn about stock market/startup economics?,,4,3,zuck9,2015-12-15 08:30:00
11999009,ask hn: examples of unreliable software you are forced to use,,5,3,vdfs,2016-06-29 01:54:00
12100796,ask hn: military to tech jobs,,10,20,boniface316,2016-07-15 13:34:00
11457376,ask hn: setting to ignore /node_modules with find and grep,,2,1,ereckers,2016-04-08 19:49:00
10986660,"ask hn: ssl is free now, why domain names are not",,5,9,tuyguntn,2016-01-28 06:20:00
12345855,"ask hn: outside of sv, is age discrimination in it common?",,10,5,04rob,2016-08-23 17:58:00
11814830,ask hn: who wants to be hired? (june 2016),,137,250,whoishiring,2016-06-01 15:01:00
11279592,ask hn: is meteor.js still a thing?,,6,11,adius,2016-03-13 22:09:00
10655741,ask hn: freelancer? seeking freelancer? (december 2015),,41,93,whoishiring,2015-12-01 15:00:00
12032582,ask hn: alternatives to evernote,,8,5,Kevin_S,2016-07-04 19:40:00
10247305,ask hn: which peps are must reads for a beginner?,,2,2,taurus,2015-09-20 12:41:00
11687974,ask hn: where do you find technical interns?,,1,1,aml183,2016-05-13 01:14:00
10983015,ask hn: what is the vi/m equivalent of the emacs org mode,,1,4,CarolineW,2016-01-27 20:31:00
11032625,ask hn: how would you monetize a webcomics publishing platform?,,5,4,rayalez,2016-02-04 08:03:00
11955334,ask hn: dedicated servers and/or vps for saas?,,1,2,startupdude69,2016-06-22 16:55:00
11929290,ask hn: can you help me learn about climate change?,,1,2,dsacco,2016-06-18 16:35:00
11304255,ask hn: who else uses adblockers for safety?,,128,92,julie1,2016-03-17 13:43:00
12371937,ask hn: what non-technical skills do you wish you were better at?,,5,4,AdamSC1,2016-08-27 11:44:00
11701440,ask hn: how do you use amazon echo?,,80,112,trapped,2016-05-15 16:13:00
11634068,"ask hn: math from square one, after ~11 years of programming",,6,4,vldx,2016-05-05 04:51:00
11635751,ask hn: best encrypted messaging app with mobile and native clients?,,13,16,mellamoyo,2016-05-05 13:13:00
12090884,ask hn staff: could you build emoji support?,,3,4,maxsavin,2016-07-14 00:31:00
11147843,ask hn: facebook account disabled,,2,3,OafTobark,2016-02-22 01:52:00
10857463,ask hn: anyone interested in starting an it consultancy?,,5,4,tixocloud,2016-01-07 12:06:00
11648097,ask hn: how can you work at a desk all day?,,3,4,reedlaw,2016-05-07 02:33:00
11485365,ask hn: how to work fewer hours?,,4,4,ChimChimminy,2016-04-13 02:53:00
11949765,ask hn: what's a small problem that bugs you in your every day life?,,5,9,jameshk,2016-06-21 21:59:00
10245096,"ask hn: start date is set, but i got another offer. what to do?",,3,11,tonym9428,2015-09-19 18:22:00
11774179,ask hn: what did you pay for firstnamelastname.com,,14,43,the_cat_kittles,2016-05-26 00:05:00
10567455,ask hn: ios mvvm tutorial using swift,,3,3,drew22huthut,2015-11-14 22:02:00
12171168,ask hn: any visualizations of electrons running thru circuits as  code?,,1,1,vtempest,2016-07-27 07:38:00
11367164,ask hn: what's happening at google to justify the mismanagement of chrome?,,4,3,soroso,2016-03-26 19:54:00
11676942,ask hn: how do you read hacker news on mobile in 2016?,,1,5,kokonotu,2016-05-11 16:50:00
10834521,ask hn: device for child internet monitoring?,,1,2,evolve2k,2016-01-04 08:21:00
12090337,ask hn: how do you differently interview bootcampers from collegiate candidates?,,1,1,probinso,2016-07-13 22:50:00
11704219,ask hn: statistical comparison of startup survival in recession,,1,1,lsiebert,2016-05-16 04:18:00
10505683,ask hn: encrypted cloud file storage for ios/android?,,6,3,msh,2015-11-04 10:45:00
10919770,ask hn: why is it that more experienced candidates get paid more?,,5,3,pinkunicorn,2016-01-17 15:48:00
11410805,ask hn: what are the podcasts you guys listen to?,,27,29,kyloren,2016-04-02 08:56:00
10482069,ask hn: what happened to express.js?,,14,11,MehdiHK,2015-10-31 07:10:00
11289629,ask hn: sorry i'm new but how do i,,2,3,andrewfromx,2016-03-15 14:00:00
11365966,ask hn: what's the best formal language?,,9,6,miguelrochefort,2016-03-26 15:23:00
10204052,ask hn: how do i clear my mind and regain focus?,,4,3,zieseil,2015-09-11 15:03:00
11711393,ask hn: are there only 2 reverse-cdn (crn) in the entire world?,,2,3,diegorbaquero,2016-05-17 04:47:00
11519670,ask hn: after working for myself what job positions am i suitable for?,,10,15,FlyingSquirrel,2016-04-18 13:22:00
10992287,ask hn: how do you transition your projects to use newer technology?,,2,1,antjanus,2016-01-28 23:14:00
11015617,ask hn: share your terminal customization,,2,1,yeukhon,2016-02-01 21:29:00
10770054,ask hn: how did the yc fellowships worked for anyone involved?,,15,2,imrehg,2015-12-21 07:36:00
12180179,ask hn: bootstrapping with 2 founders,,7,5,MuEta,2016-07-28 13:54:00
10711752,ask hn: looking for beta testers for receiving cooking help via text,,5,9,palidanx,2015-12-10 17:10:00
12083711,ask hn: what's up with retro sound chip programming?,,2,1,jzelinskie,2016-07-13 03:25:00
11029224,ask hn: help me design a personal project,,1,2,_em_,2016-02-03 19:55:00
11897822,ask hn: how do i keep learning while i am having a job?,,12,7,aryamaan,2016-06-13 21:27:00
12545289,ask hn: how to solve chicken and egg problem?,,3,1,baj84,2016-09-21 04:02:00
10890647,ask hn: how do i evaluate a recruitment agency?,,3,1,tyurok,2016-01-12 21:45:00
12096559,"ask hn: i've been a java dev for a couple of years, should i move langauge?",,3,5,eecks,2016-07-14 19:28:00
11928690,ask hn: is there a good book on it/silicon valley history?,,10,11,sebst,2016-06-18 14:13:00
11691342,ask hn: using angularjs 1.x in production?,,4,13,64bitbrain,2016-05-13 16:30:00
12532176,ask hn: does the film industry use stock options for compensation?,,1,2,spoonie,2016-09-19 15:31:00
11663939,ask hn: dropcam without the camera,,3,2,thrwawy20160421,2016-05-09 23:02:00
12308695,ask hn: hn for china?,,3,3,questionsforhn,2016-08-17 21:38:00
12016606,ask hn: best way to book an international flights?,,2,2,hartator,2016-07-01 15:03:00
11750209,ask hn: how does elon musk innovate in disparate fields?,,2,1,LeicesterCity,2016-05-22 20:44:00
10291415,ask hn: how to handle being sick?,,2,3,maratd,2015-09-28 16:51:00
10267569,ask hn: laptop bag for 15 macbook pro for inclement weather,,3,5,tmaly,2015-09-23 19:38:00
12148833,ask hn: managing twitter lists,,5,1,mvdwoord,2016-07-23 08:37:00
11230183,ask hn: things new developers struggle with most?,,2,2,jjensen90,2016-03-05 17:53:00
11538811,ask hn: our lead architect says 4gb is enough for a developer machine,,14,32,insamniac,2016-04-21 00:33:00
10420779,ask hn: best linux/dev laptop as of october 2015?,,15,28,sashazykov,2015-10-20 18:13:00
12003186,"ask hn: should i learn how to program, or come up with an idea first?",,3,5,LeicesterCity,2016-06-29 17:36:00
10884571,ask hn: where to ask for outside advice as a young startup member?,,5,2,Spectral,2016-01-11 23:52:00
10367465,ask hn: switching from applied math to cs (machine learning),,2,1,moka_crazy15,2015-10-10 23:53:00
11056341,ask hn: should i continue working a ruby gem for visa api?,,2,2,nambante,2016-02-08 04:33:00
10322883,"ask hn: what is your favorite data structure, what have you done with it?",,16,6,semicolondev,2015-10-03 06:44:00
12242149,"ask hn: okcupid, online dating, machine learning, the future, etc.",,8,10,baccheion,2016-08-07 14:20:00
10509187,ask hn: what determines lifespan of a post on hn homepage?,,7,3,zeeshanm,2015-11-04 19:59:00
10976311,ask hn: weather forecast in your email daily,,3,3,kayman,2016-01-26 21:39:00
11194164,ask hn: leap year bugs?,,1,2,backslash_16,2016-02-29 07:55:00
11670272,ask hn: research papers sources,,2,1,selmat,2016-05-10 20:12:00
11196274,ask hns: why do people expect so much from a free apps?,,3,2,samfisher83,2016-02-29 16:14:00
11237776,ask hn: any site that teaches javascript the way railscasts.com teaches rails?,,5,1,jamesxx,2016-03-07 08:32:00
10715564,ask hn: should i take cto/co-founder role?,,4,10,ctomaybe,2015-12-11 05:09:00
10789593,ask hn: predictions for 2016,,3,2,diminish,2015-12-24 21:13:00
12294279,ask hn: is there a technological solution to the kashmir problem?,,11,5,ahussain,2016-08-15 23:19:00
12377899,ask hn: how do you learn a new concept/programming language/ framework?,,2,3,Kaladin,2016-08-28 18:58:00
10428572,ask hn: need startup growth advice/help,,2,1,jamesdharper3,2015-10-21 20:48:00
11916628,ask hn: what is that website that compared language vs. language?,,1,1,usermac,2016-06-16 15:06:00
12469765,ask hn: resources on how to build internal/enterprise tools?,,10,5,internal_tools,2016-09-10 16:01:00
11025571,ask hn: which industry sector should i target?,,77,60,leksak,2016-02-03 09:30:00
10928046,ask hn: where do i go to learn modern php?,,6,2,mikeschmatz,2016-01-19 00:20:00
10650500,ask hn: what's the solution to internet connectivity problems in windows 10?,,1,1,chirau,2015-11-30 17:19:00
11914812,ask hn: are bots just a hype?,,3,6,kyloren,2016-06-16 08:42:00
12270219,ask hn: how many professional developers contribute to open source?,,22,12,morinted,2016-08-11 17:40:00
11770566,ask hn: do you (developers) manage your own servers?,,17,22,cdnsteve,2016-05-25 15:46:00
10324755,"ask hn: looking to purchase a software-defined radio, any advice?",,85,32,grantham,2015-10-03 18:03:00
10248273,ask hn: how do you manage and structure a team?,,136,62,losingcontrol,2015-09-20 17:27:00
11344357,ask hn: what should i ask before joining a new startup?,,3,2,cupofjoakim,2016-03-23 13:49:00
10454334,"ask hn: developers vs. machines, how long will it last?",,1,2,montbonnot,2015-10-26 20:44:00
12113052,"ask hn: how many of you actually identify yourself as hackers? if so, why?",,9,18,type0,2016-07-18 03:09:00
12455664,ask hn: what is the most frustrating part about working as a contractor?,,1,2,raykanani99,2016-09-08 18:20:00
10622903,ask hn: why does uber need id to delete account?,,6,1,benten10,2015-11-24 19:21:00
10770507,ask hn: how do you manage your bookmarks?,,4,3,gghyslain,2015-12-21 10:43:00
10762327,"ask hn: electrical eng. phd, thinking of moving to programming jobs. worth it?",,6,11,ee_throwaway,2015-12-19 02:17:00
11724778,ask hn: autism?,,13,4,mkra,2016-05-18 19:03:00
10625010,ask hn: should i build an airline booking system?,,6,11,espitia,2015-11-25 02:21:00
